"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT03","WT03_ATTRIBUTES"
"USC00084625","KISSIMMEE 2, FL US","28.2763","-81.424","18.3","1995-01-01",,,,,"0.00",",,0,1500","0.0","P,,0","0.0",",,0","77",",,0","60",",,0","76",",,0,1500",,
"USC00084625","KISSIMMEE 2, FL US","28.2763","-81.424","18.3","1995-01-02",,,,,"0.00",",,0,1500","0.0","P,,0","0.0","P,,0","77",",,0","59",",,0","63",",,0,1500",,
"USC00084625","KISSIMMEE 2, FL US","28.2763","-81.424","18.3","1995-01-03",,,,,"0.00",",,0,1500","0.0","P,,0","0.0","P,,0","67",",,0","56",",,0","67",",,0,1500",,
"USC00084625","KISSIMMEE 2, FL US","28.2763","-81.424","18.3","1995-01-04",,,,,"0.02",",,0,1500","0.0","P,,0","0.0","P,,0","68",",,0","52",",,0","56",",,0,1500",,
"USC00084625","KISSIMMEE 2, FL US","28.2763","-81.424","18.3","1995-01-05",,,,,"0.06",",,0,1500","0.0","P,,0","0.0","P,,0","61",",,0","45",",,0","61",",,0,1500",,
"USC00084625","KISSIMMEE 2, FL US","28.2763","-81.424","18.3","1995-01-06",,,,,"0.00",",,0,1500","0.0","P,,0","0.0","P,,0","75",",,0","48",",,0","74",",,0,1500",,
"USC00084625","KISSIMMEE 2, FL US","28.2763","-81.424","18.3","1995-01-07",,,,,"0.26",",,0,1500","0.0","P,,0","0.0","P,,0","74",",,0","67",",,0","72",",,0,1500",,
"USC00084625","KISSIMMEE 2, FL US","28.2763","-81.424","18.3","1995-01-08",,,,,"0.00",",,0,1500","0.0","P,,0","0.0","P,,0","59",",I,0","47",",,0","58",",,0,1500",,
"USC00084625","KISSIMMEE 2, FL US","28.2763","-81.424","18.3","1995-01-09",,,,,"0.00",",,0,1500","0.0","P,,0","0.0","P,,0","64",",,0","41",",,0","64",",,0,1500",,
"USC00084625","KISSIMMEE 2, FL US","28.2763","-81.424","18.3","1995-01-10",,,,,"0.00",",,0,1500","0.0","P,,0","0.0","P,,0","68",",,0","42",",,0","67",",,0,1500",,
"USC00084625","KISSIMMEE 2, FL US","28.2763","-81.424","18.3","1995-01-11",,,,,"0.00",",,0,1500","0.0","P,,0","0.0","P,,0","74",",,0","49",",,0","73",",,0,1500",,
"USC00084625","KISSIMMEE 2, FL US","28.2763","-81.424","18.3","1995-01-12",,,,,"0.00",",,0,1500","0.0","P,,0","0.0","P,,0","76",",,0","49",",,0","75",",,0,1500",,
"USC00084625","KISSIMMEE 2, FL US","28.2763","-81.424","18.3","1995-01-13",,,,,"0.00",",,0,1500","0.0","P,,0","0.0","P,,0","79",",,0","60",",,0","76",",,0,1500",,
"USC00084625","KISSIMMEE 2, FL US","28.2763","-81.424","18.3","1995-01-14",,,,,"0.40",",,0,1500","0.0","P,,0","0.0","P,,0","76",",,0","63",",,0","74",",I,0,1500",,
"USC00084625","KISSIMMEE 2, FL US","28.2763","-81.424","18.3","1995-01-15",,,,,"0.23",",,0,1500","0.0","P,,0","0.0","P,,0","67",",I,0","57",",,0","64",",,0,1500",,
"USC00084625","KISSIMMEE 2, FL US","28.2763","-81.424","18.3","1995-01-16",,,,,"0.08",",,0,1500","0.0","P,,0","0.0","P,,0","65",",,0","49",",,0","64",",,0,1500",,
"USC00084625","KISSIMMEE 2, FL US","28.2763","-81.424","18.3","1995-01-17",,,,,"0.00",",,0,1500","0.0","P,,0","0.0","P,,0","63",",,0","48",",,0","62",",,0,1500",,
"USC00084625","KISSIMMEE 2, FL US","28.2763","-81.424","18.3","1995-01-18",,,,,"0.00",",,0,1500","0.0","P,,0","0.0","P,,0","73",",,0","44",",,0","72",",,0,1500",,
"USC00084625","KISSIMMEE 2, FL US","28.2763","-81.424","18.3","1995-01-19",,,,,"0.00",",,0,1500","0.0","P,,0","0.0","P,,0","73",",,0","46",",,0","73",",,0,1500",,
"USC00084625","KISSIMMEE 2, FL US","28.2763","-81.424","18.3","1995-01-20",,,,,"0.00",",,0,1500","0.0","P,,0","0.0","P,,0","73",",,0","47",",,0","60",",,0,1500",,
"USC00084625","KISSIMMEE 2, FL US","28.2763","-81.424","18.3","1995-01-21",,,,,"0.00",",,0,1500","0.0","P,,0","0.0","P,,0","62",",,0","46",",,0","60",",,0,1500",,
"USC00084625","KISSIMMEE 2, FL US","28.2763","-81.424","18.3","1995-01-22",,,,,"0.00",",,0,1500","0.0","P,,0","0.0","P,,0","64",",,0","41",",,0","61",",,0,1500",,
"USC00084625","KISSIMMEE 2, FL US","28.2763","-81.424","18.3","1995-01-23",,,,,"0.08",",,0,1500","0.0","P,,0","0.0","P,,0","74",",,0","43",",,0","71",",,0,1500",,
"USC00084625","KISSIMMEE 2, FL US","28.2763","-81.424","18.3","1995-01-24",,,,,"0.00",",,0,1500","0.0","P,,0","0.0","P,,0","72",",,0","38",",,0","55",",,0,1500",,
"USC00084625","KISSIMMEE 2, FL US","28.2763","-81.424","18.3","1995-01-25",,,,,"0.00",",,0,1500","0.0","P,,0","0.0","P,,0","58",",,0","34",",,0","58",",,0,1500",,
"USC00084625","KISSIMMEE 2, FL US","28.2763","-81.424","18.3","1995-01-26",,,,,"0.00",",,0,1500","0.0","P,,0","0.0","P,,0","67",",,0","36",",,0","66",",,0,1500",,
"USC00084625","KISSIMMEE 2, FL US","28.2763","-81.424","18.3","1995-01-27",,,,,"0.00",",,0,1500","0.0","P,,0","0.0","P,,0","70",",,0","38",",,0","70",",,0,1500",,
"USC00084625","KISSIMMEE 2, FL US","28.2763","-81.424","18.3","1995-01-28",,,,,"0.00",",,0,1500","0.0","P,,0","0.0","P,,0","78",",,0","48",",,0","77",",I,0,1500",,
"USC00084625","KISSIMMEE 2, FL US","28.2763","-81.424","18.3","1995-01-29",,,,,"0.00",",,0,1500","0.0","P,,0","0.0","P,,0","74",",I,0","69",",,0","74",",,0,1500",,
"USC00084625","KISSIMMEE 2, FL US","28.2763","-81.424","18.3","1995-01-30",,,,,"0.65",",,0,1500","0.0","P,,0","0.0","P,,0","74",",,0","54",",,0","56",",,0,1500",,
"USC00084625","KISSIMMEE 2, FL US","28.2763","-81.424","18.3","1995-01-31",,,,,"0.00",",,0,1500","0.0","P,,0","0.0","P,,0","74",",,0","39",",,0","58",",,0,1500",,
"USC00084625","KISSIMMEE 2, FL US","28.2763","-81.424","18.3","1995-02-01",,,,,"0.00",",,0,1500","0.0","P,,0","0.0",",,0","74",",,0","36",",,0","62",",,0,1500",,
"USC00084625","KISSIMMEE 2, FL US","28.2763","-81.424","18.3","1995-02-02",,,,,"0.00",",,0,1500","0.0","P,,0","0.0","P,,0","74",",,0","36",",,0","70",",,0,1500",,
"USC00084625","KISSIMMEE 2, FL US","28.2763","-81.424","18.3","1995-02-03",,,,,"0.00",",,0,1500","0.0","P,,0","0.0","P,,0","76",",,0","46",",,0","75",",,0,1500",,
"USC00084625","KISSIMMEE 2, FL US","28.2763","-81.424","18.3","1995-02-04",,,,,"0.76",",,0,1500","0.0","P,,0","0.0","P,,0","75",",,0","53",",,0","56",",,0,1500",,
"USC00084625","KISSIMMEE 2, FL US","28.2763","-81.424","18.3","1995-02-05",,,,,"0.00",",,0,1500","0.0","P,,0","0.0","P,,0","63",",,0","35",",,0","63",",,0,1500",,
"USC00084625","KISSIMMEE 2, FL US","28.2763","-81.424","18.3","1995-02-06",,,,,"0.00",",,0,1500","0.0","P,,0","0.0","P,,0","64",",,0","41",",,0","53",",,0,1500",,
"USC00084625","KISSIMMEE 2, FL US","28.2763","-81.424","18.3","1995-02-07",,,,,"0.00",",,0,1500","0.0","P,,0","0.0","P,,0","69",",,0","32",",,0","68",",,0,1500",,
"USC00084625","KISSIMMEE 2, FL US","28.2763","-81.424","18.3","1995-02-08",,,,,"0.01",",,0,1500","0.0","P,,0","0.0","P,,0","69",",,0","40",",,0","51",",,0,1500",,
"USC00084625","KISSIMMEE 2, FL US","28.2763","-81.424","18.3","1995-02-09",,,,,"0.00",",,0,1500","0.0","P,,0","0.0","P,,0","55",",,0","29",",,0","55",",,0,1500",,
